Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
38.6710,5.9730,62.03,117.00,0.007317
38.7476,5.9730,61.76,117.00,0.006926
38.8248,5.9730,62.03,117.00,0.007240
38.9026,5.9730,62.03,117.00,0.006735
38.9778,5.9730,62.03,117.00,0.006431
39.0522,5.9730,62.30,117.00,0.006357
39.1262,5.9730,61.76,117.00,0.007082
39.2068,5.9730,61.76,117.00,0.007199
39.2803,5.9730,62.03,117.00,0.006759
39.3577,5.9730,62.03,117.00,0.006741
39.4299,5.9730,61.76,117.00,0.006990
39.5065,5.9730,61.76,117.00,0.006774
39.5831,5.8820,61.49,117.00,0.006741
39.6588,5.8820,62.30,117.00,0.006850
39.7331,5.8820,62.03,117.00,0.006865
39.8063,5.8820,61.76,117.00,0.006537
39.8776,5.8820,62.03,117.00,0.006716
39.9515,5.8820,61.22,117.00,0.006620
40.0254,5.8820,62.03,117.00,0.006802
40.0993,5.8820,62.03,117.00,0.007239
40.1745,5.8820,62.03,117.00,0.006784
40.2510,5.8820,61.76,117.00,0.006874
40.3250,5.8820,61.76,117.00,0.006986
40.4010,5.8820,61.76,117.00,0.007243
40.4728,5.8820,62.03,117.00,0.006639
40.5513,5.9010,62.03,117.00,0.006768
40.6263,5.9200,62.03,117.00,0.006828
40.7026,5.9200,61.76,117.00,0.006568
40.7767,5.9200,62.30,117.00,0.006317
40.8534,5.9200,62.03,117.00,0.006931
40.9273,5.9200,61.76,117.00,0.006896
41.0018,5.9200,62.03,117.00,0.006932
41.0738,5.9200,61.76,117.00,0.007135
41.1470,5.9200,62.03,117.00,0.006490
41.2178,5.9200,62.30,117.00,0.006438
41.2935,5.9200,62.03,117.00,0.006609
41.3676,5.9200,61.49,117.00,0.006447
41.4460,5.9200,62.30,117.00,0.007039
41.5166,5.9200,62.03,117.00,0.006630
41.5888,5.9200,61.76,117.00,0.006289
41.6621,5.9200,62.30,117.00,0.006994
41.7391,5.9770,61.49,117.00,0.006803
41.8134,5.9770,62.03,117.00,0.006811
41.8863,5.9770,62.03,117.00,0.006387
41.9611,5.9770,62.03,117.00,0.006621
42.0384,5.9770,62.03,117.00,0.007194
42.1118,5.9770,62.03,117.00,0.006680
42.1858,5.9770,62.30,117.00,0.006729
42.2574,5.9770,61.76,117.00,0.006787
42.3361,5.9770,62.03,117.00,0.007047
42.4106,5.9770,62.03,117.00,0.007178
42.4892,5.9770,61.76,117.00,0.007035
42.5609,5.9770,62.03,117.00,0.006941
42.6347,5.9770,61.76,117.00,0.006555
42.7089,5.9770,61.76,117.00,0.006891
42.7818,5.9770,61.49,117.00,0.006732
42.8547,5.9770,62.03,117.00,0.006558
42.9322,5.9770,61.76,117.00,0.006672
43.0061,5.9770,62.30,117.00,0.006885
43.0821,5.9770,62.03,117.00,0.007177
43.1537,5.9770,62.30,117.00,0.006825
43.2322,5.9770,62.30,117.00,0.006910
43.3086,5.9770,61.76,117.00,0.007151
43.3819,5.9770,61.49,117.00,0.006920
43.4539,5.9770,61.76,117.00,0.007066
43.5307,5.9770,62.30,117.00,0.007146
43.6066,5.9770,62.30,117.00,0.007070
43.6817,5.9770,62.30,117.00,0.006280
43.7521,5.9770,61.49,117.00,0.006361
43.8249,5.9770,62.03,117.00,0.006355
43.8956,5.9770,61.76,117.00,0.006372
43.9705,5.9770,61.76,117.00,0.006330
44.0457,5.8860,61.76,117.00,0.007084
44.1219,5.8860,61.76,117.00,0.006530
44.1934,5.8860,62.30,117.00,0.006866
44.2696,5.8860,61.49,117.00,0.006891
44.3416,5.8860,61.49,117.00,0.006633
44.4180,5.8860,61.76,117.00,0.006950
44.4914,5.8860,62.03,117.00,0.006439
44.5685,5.9810,62.30,117.00,0.006786
44.6418,5.9810,61.76,117.00,0.006578
44.7207,5.9810,61.76,117.00,0.007126
44.7922,5.9810,61.76,117.00,0.007015
44.8663,5.9810,62.03,117.00,0.006812
44.9426,5.9810,62.03,117.00,0.006889
45.0167,5.9810,62.03,117.00,0.006858
