time	power_W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
31.870	2.763	0.0950	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0000	34.00	33.00	38.00	35.00
32.072	2.763	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0480	0.0480	33.00	33.00	38.00	35.00
32.273	2.763	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	38.00	35.00
32.474	2.763	0.0500	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0480	33.00	33.00	38.00	35.00
32.676	2.767	0.0000	0.0480	0.0000	0.0000	0.0000	0.0000	0.1360	0.0000	33.00	33.00	38.00	35.00
32.878	2.767	0.0950	0.0480	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	33.00	33.00	38.00	35.00
33.079	2.767	0.1430	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	39.00	35.00
33.280	2.767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0500	0.0000	0.0000	33.00	33.00	37.00	35.00
33.482	2.767	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	35.00
33.683	2.710	0.1000	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0000	33.00	33.00	37.00	35.00
33.885	2.710	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	34.00
34.086	2.710	0.0500	0.0000	0.0000	0.0000	0.0000	0.0500	0.0000	0.0000	33.00	33.00	37.00	34.00
34.288	2.710	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	34.00
34.489	2.710	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	34.00
34.690	2.710	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	34.00
34.892	2.756	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	34.00
35.094	2.756	0.0500	0.0000	0.0000	0.0000	0.0000	0.0500	0.0000	0.0000	33.00	33.00	37.00	34.00
35.295	2.756	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.00	33.00	37.00	34.00
35.496	2.756	0.0000	0.3680	0.0000	0.4000	0.0000	0.0000	0.0000	0.0000	33.00	33.00	37.00	34.00
35.698	2.756	0.0950	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0500	33.00	32.00	37.00	34.00
35.899	2.657	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.00	33.00	37.00	34.00
36.101	2.657	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	32.00	37.00	34.00
36.303	2.657	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	32.00	37.00	34.00
36.504	2.657	0.0000	0.0480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	32.00	37.00	34.00
36.705	2.683	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.00	32.00	37.00	34.00
36.907	2.683	0.0480	0.0500	0.0000	0.0000	0.0000	0.0480	0.0000	0.0000	32.00	32.00	37.00	34.00
37.108	2.683	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.00	32.00	37.00	34.00
37.310	2.683	0.0480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.00	32.00	37.00	34.00
37.511	2.683	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	32.00	32.00	37.00	34.00
37.712	2.710	0.0500	0.0000	0.0000	0.0000	0.0000	0.0480	0.0480	0.0950	32.00	32.00	37.00	34.00
37.914	2.710	0.0950	0.0000	0.0000	0.0000	0.0480	0.0000	0.0480	0.0000	32.00	32.00	37.00	34.00
38.116	2.710	0.0000	0.0000	0.0000	0.0000	0.6500	0.0000	0.0000	0.0000	45.00	34.00	38.00	35.00
38.317	2.710	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	47.00	36.00	39.00	36.00
38.519	2.710	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	48.00	38.00	40.00	37.00
38.721	5.439	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	49.00	38.00	41.00	38.00
38.923	5.439	0.0500	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0000	50.00	39.00	41.00	38.00
39.125	5.439	0.0500	0.0000	0.0000	0.0480	1.0000	0.0000	0.0000	0.0000	50.00	40.00	42.00	39.00
39.326	5.439	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	50.00	40.00	42.00	39.00
39.528	5.439	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	40.00	42.00	39.00
39.729	5.519	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	42.00	40.00
39.932	5.519	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	51.00	41.00	42.00	40.00
40.133	5.519	0.0480	0.0480	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	51.00	41.00	43.00	40.00
40.335	5.519	0.0500	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0480	52.00	41.00	43.00	40.00
40.536	5.519	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	41.00	43.00	40.00
40.738	5.519	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	43.00	40.00
40.940	5.584	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	52.00	42.00	43.00	40.00
41.142	5.584	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	43.00	40.00
41.343	5.584	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
41.545	5.584	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
41.747	5.481	0.0500	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0480	52.00	42.00	44.00	41.00
41.949	5.481	0.0500	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	42.00	44.00	41.00
