Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
37.3662,5.9240,61.76,119.00,0.017401
37.4493,5.9240,62.03,118.50,0.016922
37.5341,5.9545,62.30,118.00,0.017438
37.6182,5.9850,62.30,118.50,0.017523
37.7027,5.9850,62.30,118.00,0.017308
37.7904,5.9850,61.49,118.00,0.017600
37.8780,5.9850,62.03,118.00,0.017494
37.9621,5.9850,61.49,118.00,0.017942
38.0499,5.9850,62.03,118.00,0.016623
38.1349,5.9850,61.49,118.00,0.016840
38.2194,5.9850,62.03,118.00,0.016988
38.3066,5.9850,62.30,118.00,0.017669
38.3984,5.9850,62.03,118.00,0.017696
38.4870,5.9850,62.03,118.50,0.017949
38.5812,6.0120,61.22,118.00,0.018183
38.6695,6.0120,62.30,118.00,0.017246
38.7571,6.0120,62.03,118.00,0.017667
38.8426,6.0120,61.76,118.50,0.017254
38.9274,6.0120,62.03,119.00,0.017397
39.0129,6.0120,61.49,119.00,0.017497
39.1011,6.0120,62.30,118.50,0.018777
39.1914,6.0120,61.76,118.00,0.018239
39.2829,6.0120,62.03,118.00,0.017946
39.3653,6.0120,61.49,118.00,0.016575
39.4494,6.0120,61.22,118.00,0.016580
39.5317,5.9395,61.76,118.00,0.017583
39.6210,5.8670,62.03,118.00,0.017797
39.7066,5.8670,61.49,118.00,0.018361
39.7955,5.8670,62.03,118.00,0.017976
39.8813,5.8670,61.76,118.00,0.016366
39.9675,5.8670,61.49,118.00,0.016807
40.0542,5.8670,62.03,118.00,0.018167
40.1426,5.8670,61.76,119.00,0.017564
40.2258,5.8670,61.76,119.00,0.017287
40.3144,5.8670,61.49,119.00,0.017719
40.4012,5.8670,61.22,119.00,0.017754
40.4904,5.8670,62.30,119.00,0.017708
40.5785,5.9280,61.49,119.00,0.017471
40.6610,5.9280,61.76,119.00,0.016402
40.7457,5.9280,61.49,119.00,0.016646
40.8293,5.9280,62.03,119.00,0.017075
40.9182,5.9280,61.22,119.00,0.017812
41.0066,5.9280,62.03,119.00,0.017624
41.0940,5.9280,61.49,119.00,0.017731
41.1772,5.9280,62.30,119.00,0.017215
41.2568,5.9280,61.49,119.00,0.016169
41.3386,5.9280,61.49,119.00,0.016593
41.4213,5.9280,61.76,119.00,0.017484
41.5058,5.9280,62.03,119.00,0.016921
41.5882,5.8510,61.49,119.00,0.016608
41.6707,5.8510,62.03,119.00,0.017286
41.7519,5.8510,61.76,119.00,0.016903
41.8353,5.8510,61.49,119.00,0.017116
41.9175,5.8510,62.03,119.00,0.016599
42.0025,5.8510,61.76,119.00,0.017318
42.0865,5.8510,61.49,119.00,0.017352
42.1701,5.8510,61.76,119.00,0.017588
42.2537,5.8510,61.49,119.00,0.017175
42.3422,5.8510,62.03,119.00,0.017220
42.4255,5.8510,61.49,119.00,0.017145
42.5085,5.8510,62.03,119.00,0.016988
42.5942,5.9280,62.03,119.00,0.017027
42.6773,5.9280,62.03,119.00,0.017396
42.7590,5.9280,61.76,119.00,0.017642
